iter	Passed	Remaining
0	140	140092
1	140	70268
2	141	46987
3	141	35340
4	142	28358
5	143	23701
6	143	20374
7	144	17879
8	144	15937
9	145	14385
10	145	13113
11	146	12055
12	147	11161
13	147	10392
14	148	9728
15	148	9145
16	149	8631
17	149	8173
18	150	7765
19	150	7396
20	151	7063
21	152	6760
22	152	6483
23	153	6229
24	153	5997
25	154	5782
26	154	5582
27	155	5396
28	156	5223
29	156	5062
30	157	4911
31	157	4770
32	158	4637
33	158	4512
34	159	4394
35	159	4282
36	160	4177
37	161	4078
38	161	3982
39	162	3892
40	162	3806
41	163	3725
42	163	3647
43	164	3573
44	165	3502
45	165	3434
46	166	3368
47	166	3306
48	167	3246
49	167	3189
50	168	3135
51	169	3082
52	169	3031
53	170	2982
54	170	2934
55	171	2888
56	171	2844
57	172	2802
58	173	2761
59	173	2721
60	174	2683
61	174	2646
62	175	2610
63	176	2577
64	176	2543
65	177	2511
66	178	2479
67	178	2444
68	178	2414
69	179	2385
70	180	2356
71	180	2329
72	181	2302
73	182	2278
74	182	2253
75	183	2228
76	183	2204
77	184	2180
78	185	2158
79	185	2135
80	186	2113
81	186	2091
82	187	2071
83	188	2050
84	188	2028
85	189	2009
86	189	1988
87	190	1970
88	190	1952
89	191	1934
90	191	1917
91	192	1900
92	193	1883
93	193	1867
94	194	1851
95	194	1836
96	195	1820
97	196	1805
98	196	1790
99	197	1776
100	197	1762
101	198	1745
102	198	1732
103	199	1719
104	200	1706
105	200	1694
106	201	1681
107	202	1668
108	202	1657
109	203	1645
110	203	1633
111	204	1621
112	205	1609
113	205	1598
114	206	1587
115	206	1575
116	207	1564
117	207	1553
118	208	1542
119	208	1531
120	209	1521
121	210	1512
122	210	1500
123	211	1490
124	211	1480
125	212	1471
126	212	1462
127	213	1451
128	213	1442
129	214	1433
130	214	1425
131	215	1416
132	215	1408
133	216	1399
134	217	1391
135	217	1382
136	218	1374
137	218	1366
138	219	1358
139	219	1350
140	220	1343
141	221	1335
142	221	1328
143	222	1320
144	222	1313
145	223	1306
146	224	1301
147	224	1294
148	225	1287
149	226	1281
150	226	1274
151	227	1267
152	227	1260
153	228	1254
154	228	1247
155	229	1241
156	230	1235
157	230	1228
158	231	1222
159	231	1216
160	232	1210
161	232	1204
162	233	1198
163	234	1193
164	234	1187
165	235	1181
166	235	1175
167	236	1170
168	236	1165
169	237	1159
170	238	1155
171	239	1150
172	239	1145
173	240	1141
174	241	1136
175	241	1131
176	242	1126
177	243	1122
178	243	1117
179	244	1112
180	244	1106
181	245	1102
182	245	1097
183	246	1093
184	247	1088
185	247	1084
186	248	1080
187	249	1075
188	249	1071
189	250	1067
190	251	1063
191	251	1059
192	254	1064
193	255	1060
194	255	1056
195	256	1052
196	257	1048
197	257	1044
198	258	1040
199	259	1036
200	259	1032
201	260	1028
202	261	1024
203	261	1021
204	262	1017
205	262	1013
206	263	1009
207	264	1006
208	264	1002
209	265	999
210	266	995
211	266	992
212	267	988
213	268	985
214	268	981
215	269	977
216	270	974
217	270	970
218	271	967
219	271	963
220	272	960
221	273	956
222	273	953
223	274	950
224	274	946
225	275	943
226	276	940
227	276	936
228	277	933
229	277	930
230	278	927
231	279	923
232	279	920
233	280	917
234	281	915
235	281	912
236	282	909
237	283	906
238	283	904
239	284	901
240	285	898
241	285	895
242	286	892
243	287	890
244	287	887
245	288	884
246	289	882
247	289	879
248	290	876
249	291	873
250	291	871
251	292	868
252	293	865
253	293	863
254	294	860
255	295	858
256	296	855
257	296	853
258	297	850
259	298	848
260	298	845
261	299	843
262	299	840
263	300	838
264	301	835
265	301	833
266	302	830
267	303	828
268	303	825
269	304	823
270	305	820
271	305	818
272	306	815
273	307	813
274	307	811
275	308	808
276	309	806
277	310	805
278	311	803
279	311	801
280	312	799
281	313	797
282	313	795
283	314	793
284	315	790
285	315	788
286	316	786
287	317	783
288	317	781
289	318	779
290	319	777
291	319	775
292	320	773
293	321	771
294	321	769
295	322	766
296	323	764
297	323	762
298	324	760
299	325	758
300	325	756
301	326	754
302	327	752
303	327	750
304	328	748
305	329	746
306	329	744
307	330	742
308	331	740
309	331	738
310	332	736
311	333	734
312	333	732
313	334	730
314	335	728
315	335	726
316	336	724
317	337	723
318	337	721
319	338	719
320	339	717
321	339	715
322	340	713
323	341	711
324	341	709
325	342	708
326	343	706
327	343	704
328	344	702
329	345	700
330	345	698
331	346	697
332	347	695
333	347	693
334	348	691
335	348	689
336	349	687
337	350	685
338	350	683
339	351	682
340	352	680
341	352	678
342	353	677
343	354	675
344	354	673
345	355	671
346	355	669
347	356	667
348	357	666
349	357	664
350	358	662
351	358	660
352	359	659
353	360	657
354	360	655
355	361	653
356	362	652
357	362	650
358	363	648
359	364	647
360	364	645
361	365	644
362	366	642
363	366	640
364	367	639
365	368	637
366	368	636
367	369	634
368	370	632
369	370	631
370	371	629
371	372	628
372	372	626
373	373	625
374	374	623
375	374	621
376	375	620
377	376	618
378	376	617
379	377	615
380	377	613
381	378	612
382	379	610
383	380	609
384	380	608
385	381	606
386	381	605
387	382	603
388	383	602
389	383	600
390	384	598
391	385	597
392	385	595
393	386	594
394	387	592
395	387	591
396	388	589
397	388	588
398	389	586
399	389	584
400	390	583
401	391	581
402	391	580
403	392	578
404	392	577
405	393	575
406	394	574
407	394	572
408	395	571
409	395	569
410	396	568
411	397	566
412	397	565
413	398	563
414	398	562
415	399	560
416	400	559
417	400	557
418	401	556
419	401	554
420	402	553
421	402	551
422	403	550
423	403	548
424	404	547
425	405	545
426	405	544
427	406	542
428	406	541
429	407	539
430	407	538
431	408	537
432	409	535
433	409	534
434	410	532
435	410	531
436	411	530
437	412	528
438	412	527
439	413	525
440	413	524
441	414	523
442	414	521
443	415	520
444	416	518
445	416	517
446	417	516
447	417	514
448	418	513
449	418	512
450	419	510
451	420	509
452	420	507
453	421	506
454	421	505
455	422	504
456	423	502
457	423	501
458	424	500
459	424	498
460	425	497
461	425	496
462	426	494
463	427	493
464	427	492
465	428	490
466	428	489
467	429	488
468	430	486
469	430	485
470	431	484
471	431	482
472	432	481
473	432	480
474	433	479
475	433	477
476	434	476
477	435	475
478	435	473
479	436	472
480	437	471
481	437	470
482	438	469
483	439	468
484	439	466
485	440	465
486	441	464
487	441	463
488	442	462
489	443	461
490	443	459
491	444	458
492	445	457
493	445	456
494	446	455
495	447	454
496	447	453
497	448	451
498	448	450
499	449	449
500	451	449
501	451	448
502	452	447
503	453	446
504	453	444
505	454	443
506	455	442
507	456	441
508	456	440
509	457	439
510	457	438
511	458	437
512	459	435
513	459	434
514	460	433
515	461	432
516	461	431
517	462	430
518	463	429
519	463	428
520	464	427
521	465	425
522	465	424
