iter	Passed	Remaining
0	128	128406
1	129	64852
2	131	43601
3	132	32978
4	133	26561
5	134	22319
6	137	19528
7	139	17239
8	140	15422
9	141	13959
10	141	12761
11	143	11803
12	144	10975
13	145	10269
14	146	9652
15	148	9111
16	149	8655
17	152	8314
18	153	7929
19	154	7587
20	156	7274
21	157	6995
22	158	6729
23	159	6479
24	160	6252
25	161	6042
26	162	5846
27	163	5667
28	165	5541
29	167	5416
30	168	5272
31	169	5135
32	171	5016
33	172	4898
34	173	4785
35	174	4674
36	175	4570
37	176	4472
38	177	4379
39	179	4314
40	181	4245
41	182	4163
42	183	4087
43	184	4019
44	186	3952
45	187	3886
46	188	3825
47	189	3763
48	190	3701
49	191	3642
50	192	3585
51	194	3538
52	195	3485
53	196	3434
54	197	3385
55	198	3338
56	199	3298
57	200	3256
58	201	3214
59	202	3173
60	203	3134
61	204	3096
62	205	3060
63	206	3025
64	207	2990
65	209	2960
66	210	2927
67	211	2896
68	212	2865
69	214	2845
70	215	2818
71	216	2789
72	217	2760
73	218	2733
74	219	2705
75	220	2679
76	221	2654
77	222	2628
78	224	2612
79	225	2588
80	226	2565
81	227	2542
82	227	2517
83	229	2497
84	230	2476
85	231	2456
86	232	2436
87	233	2416
88	234	2397
89	235	2377
90	236	2359
91	237	2344
92	239	2331
93	240	2315
94	241	2298
95	242	2281
96	243	2264
97	244	2248
98	245	2232
99	246	2216
100	247	2202
101	248	2187
102	249	2172
103	250	2157
104	251	2143
105	252	2129
106	254	2127
107	256	2117
108	257	2105
109	258	2094
110	260	2084
111	261	2072
112	262	2060
113	264	2051
114	265	2042
115	266	2031
116	267	2018
117	269	2011
118	270	2001
119	271	1991
120	272	1980
121	273	1968
122	274	1960
123	276	1950
124	277	1941
125	278	1932
126	279	1922
127	280	1913
128	282	1904
129	283	1897
130	284	1888
131	285	1880
132	286	1870
133	287	1861
134	289	1851
135	290	1842
136	291	1833
137	292	1825
138	293	1817
139	294	1809
140	295	1800
141	296	1789
142	297	1780
143	298	1773
144	299	1765
145	300	1758
146	301	1749
147	302	1742
148	303	1734
149	304	1727
